path	bytes	upstream_lfs_sha256	over_5gb_decimal	url
model-00038-of-00048.safetensors	3590026352	137fa617a74ba8e73fd76bb1010c7a85d791aaa150006cb66faa04a83e9e730f	no	https://huggingface.co/deepseek-ai/DeepSeek-V4-Flash-0731/resolve/7872f01b1d1fe23eabc4c98b48bffcef5a386062/model-00038-of-00048.safetensors?download=true
model-00039-of-00048.safetensors	3568770544	a29af1aa519d7ce726235ea2c2b38146d756290cda7a82d90c4d4438155b53e4	no	https://huggingface.co/deepseek-ai/DeepSeek-V4-Flash-0731/resolve/7872f01b1d1fe23eabc4c98b48bffcef5a386062/model-00039-of-00048.safetensors?download=true
model-00040-of-00048.safetensors	3590026352	8bc93d8a7d1987dc86b14e22b1d8f42ec31da92c56edd9f312daf43f33a6a206	no	https://huggingface.co/deepseek-ai/DeepSeek-V4-Flash-0731/resolve/7872f01b1d1fe23eabc4c98b48bffcef5a386062/model-00040-of-00048.safetensors?download=true
model-00041-of-00048.safetensors	3568770544	fd312e7fdd6cb5796df356a7f0314f124851dc149991e9fb02c5bed45cc4ba05	no	https://huggingface.co/deepseek-ai/DeepSeek-V4-Flash-0731/resolve/7872f01b1d1fe23eabc4c98b48bffcef5a386062/model-00041-of-00048.safetensors?download=true
model-00042-of-00048.safetensors	3590026352	4d19bf368083c9a183cb0849f316ec17b62f859ca824c0586e779657efb6e6a6	no	https://huggingface.co/deepseek-ai/DeepSeek-V4-Flash-0731/resolve/7872f01b1d1fe23eabc4c98b48bffcef5a386062/model-00042-of-00048.safetensors?download=true
model-00043-of-00048.safetensors	3568770544	b7103842ceb70848f9804f55c193d6a57f43174a587cba42b61b5c1bc4e1303d	no	https://huggingface.co/deepseek-ai/DeepSeek-V4-Flash-0731/resolve/7872f01b1d1fe23eabc4c98b48bffcef5a386062/model-00043-of-00048.safetensors?download=true
model-00044-of-00048.safetensors	3590026352	422d3889fa20c238b7f97464c14df0bcf3328f189c294f41a3a334421dc560c7	no	https://huggingface.co/deepseek-ai/DeepSeek-V4-Flash-0731/resolve/7872f01b1d1fe23eabc4c98b48bffcef5a386062/model-00044-of-00048.safetensors?download=true
model-00045-of-00048.safetensors	1059332516	a5be6aed7b84fc87ec42b5d24ba0b0d67f253a3906fcd99c13f4f7be5958fc00	no	https://huggingface.co/deepseek-ai/DeepSeek-V4-Flash-0731/resolve/7872f01b1d1fe23eabc4c98b48bffcef5a386062/model-00045-of-00048.safetensors?download=true
model-00046-of-00048.safetensors	3610455184	5db924ca907e0d93acd975bd5079c3662717f9ac709f23d079bd8f816d29d9dd	no	https://huggingface.co/deepseek-ai/DeepSeek-V4-Flash-0731/resolve/7872f01b1d1fe23eabc4c98b48bffcef5a386062/model-00046-of-00048.safetensors?download=true
model-00047-of-00048.safetensors	3560111960	62816173f9f6e136b20b48e3b6f16613ac9ea02b5603f636928b253244a548bd	no	https://huggingface.co/deepseek-ai/DeepSeek-V4-Flash-0731/resolve/7872f01b1d1fe23eabc4c98b48bffcef5a386062/model-00047-of-00048.safetensors?download=true
model-00048-of-00048.safetensors	3692775244	cc43742bd24ae6bcdea343a91442f6f66aed2cfebcc6b235470204851ce2f8a9	no	https://huggingface.co/deepseek-ai/DeepSeek-V4-Flash-0731/resolve/7872f01b1d1fe23eabc4c98b48bffcef5a386062/model-00048-of-00048.safetensors?download=true
model.safetensors.index.json	5602871		no	https://huggingface.co/deepseek-ai/DeepSeek-V4-Flash-0731/resolve/7872f01b1d1fe23eabc4c98b48bffcef5a386062/model.safetensors.index.json?download=true
tokenizer.json	6367146		no	https://huggingface.co/deepseek-ai/DeepSeek-V4-Flash-0731/resolve/7872f01b1d1fe23eabc4c98b48bffcef5a386062/tokenizer.json?download=true
tokenizer_config.json	801		no	https://huggingface.co/deepseek-ai/DeepSeek-V4-Flash-0731/resolve/7872f01b1d1fe23eabc4c98b48bffcef5a386062/tokenizer_config.json?download=true
